Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.392226128169652	2	1.44053370140327	5	Adipose Tissue	0.405297450485255	0.83219754304547	1
1.18575474703833	5	2.32436712776224	3	Adrenal Gland	0.0651996482842531	1.84388673769816	0.456397537989772
0	0	0	3	Appendix	1	0	1
0	0	0	4	Bone Marrow	1	0	1
0.491861200716836	2	1.72864044168392	4	Breast	0.322209840024365	0.989926920783823	1
15.8968416543452	48	3.83616098017527	3	Cerebral Cortex	1.26811414150389e-16	8.20953615160139	4.43839949526362e-15
2.65604260262652	6	4.5167701863354	2	Cervix, uterine	0.00220778814682847	3.06075616054953	0.0386362925694982
0.126681842804829	1	0.733856791280909	13	Colon	0.746995795189102	0.322603166690503	1
0.279581083131074	3	1.08374516854797	2	Duodenum	0.525313929418474	0.635175547290359	1
0.571201009685458	2	1.97768186124855	5	Endometrium	0.268410184330534	1.10673114782081	1
0	0	0	3	Esophagus	1	0	1
0.127110945707311	3	0.776163391221716	5	Fallopian Tube	0.74625809352311	0.323577276979243	1
0.143133060218577	1	0.793763468120167	3	Gallbladder	0.719228585208601	0.359489962792046	1
1.51219359632806	5	2.87397117767647	4	Heart Muscle	0.0307472588243714	2.16032836245281	0.26903851471325
0.477303034963985	4	1.37274388016076	9	Kidney	0.333193841035038	0.967700754842344	1
0	0	0	10	Liver	1	0	1
0.0950997931112027	1	0.620655477732258	9	Lung	0.803341507452954	0.249024916991682	1
0.203708915207932	2	0.948644144826541	5	Lymph Node	0.62559185366705	0.487940687602375	1
0.496121391502646	2	1.74154074348753	3	Ovary	0.319064589940783	0.996381970055592	1
0	0	0	2	Pancreas	1	0	1
0.431607664018714	4	1.30009169708818	8	Placenta	0.370162428698769	0.896169151529214	1
0.0960291306104692	1	0.623974490982164	9	Prostate	0.801624292066249	0.251245521315678	1
0.113484725082091	1	0.68637194008038	4	Rectum	0.770043527696203	0.292317960558758	1
0	0	0	3	Salivary Gland	1	0	1
0.350191653172926	2	1.3259457933371	3	Seminal Vesicle	0.446486515179706	0.761285573992982	1
0.290136146351803	3	1.10425769539746	5	Skeletal Muscle	0.512700633012665	0.654638340112122	1
0.249148037352523	4	1.00806246059321	3	Skin	0.563445562187876	0.577731272727012	1
0.24715861552666	3	1.02055303044022	4	Small Intestine	0.566032521631507	0.573904361285159	1
2.14160620212728	4	5.24419010398493	3	Smooth Muscle	0.00721761642170627	2.68663319914797	0.0842055249199065
0.030790732847256	1	0.377615630464934	5	Spleen	0.931556642961996	0.0858865004164138	1
0.122916728783425	1	0.720266850701633	4	Stomach	0.753500025271848	0.314027667500988	1
0.0736730485520476	15	0.807682716753562	10	Testis	0.843969887490573	0.196818098614016	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
