Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
1.30636374764559	4	2.90658724325997	3	Adrenal Gland	0.0493896845506847	1.96521218236926	0.864319479636982
0.202049010262487	1	1.018929326897	3	Appendix	0.627987486238301	0.484561419740396	1
0	0	0	4	Bone Marrow	1	0	1
0.279667045376871	1	1.35102481121899	4	Breast	0.525209961493029	0.635334984220547	1
4.4370232200459	21	2.62339406836015	3	Cerebral Cortex	3.65575245196441e-05	4.12822441046444	0.00127951335818754
0.680199846312147	2	2.35339805825243	2	Cervix, uterine	0.208833493495809	1.25677949370587	1
0	0	0	13	Colon	1	0	1
0.0792248476268085	1	0.564669812738585	2	Duodenum	0.833249673911071	0.210535594301485	1
0	0	0	5	Endometrium	1	0	1
0	0	0	3	Esophagus	1	0	1
0	0	0	5	Fallopian Tube	1	0	1
0.255124690101458	1	1.24073707152764	3	Gallbladder	0.555744674748702	0.589173823870165	1
0.171072568075502	1	0.898464775933808	4	Heart Muscle	0.674415327413791	0.42009599625389	1
0.252636637780373	2	1.07287264420331	9	Kidney	0.558937646876785	0.584420189205237	1
0.388536458459182	3	1.29659964109879	10	Liver	0.408755436181375	0.826085775397805	1
0.189686931130575	1	0.970150795290229	9	Lung	0.646119828118876	0.459159226388261	1
0.407286653503227	2	1.4828321098745	5	Lymph Node	0.391483395513591	0.856930319041428	1
0.77638044129698	2	2.72221417185915	3	Ovary	0.167347627111342	1.38077670842307	1
0	0	0	2	Pancreas	1	0	1
0	0	0	8	Placenta	1	0	1
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.283154157158985	2	1.15071513889314	5	Skeletal Muscle	0.521009740673294	0.641789696254405	1
0.329655037385964	3	1.18178196229739	3	Skin	0.468106813601217	0.725562831683847	1
0.0701165879881749	1	0.531744459226131	4	Small Intestine	0.850909577659602	0.187957997187463	1
0.411550626039829	1	2.04930729791644	3	Smooth Muscle	0.387658556222071	0.86387136953858	1
0.294714016724885	2	1.18050711659911	5	Spleen	0.507324672020574	0.66300918420692	1
0.228272033186751	1	1.12585400934915	4	Stomach	0.591191208084761	0.537110616180462	1
0.00250073025779997	5	0.420831447887778	10	Testis	0.994258402125213	0.00719608789342206	1
0.112376457248217	1	0.683102432638813	5	Thyroid Gland	0.77201109657162	0.289745301499443	1
0.209349318404427	1	1.04820890525611	5	Tonsil	0.617519507561367	0.499368923902053	1
0	0	0	2	Urinary Bladder	1	0	1
