Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.250494714400564	1	1.22066276803119	5	Adipose Tissue	0.561701114521308	0.580316630464499	1
0.439928502920289	2	1.57567624239883	3	Adrenal Gland	0.363137832544433	0.909402253843005	1
0.223145179431651	1	1.10473390179359	3	Appendix	0.598211586680008	0.526974082432813	1
0.129084679700081	1	0.743411159477641	4	Bone Marrow	0.7428742765025	0.328049446486346	1
0	0	0	4	Breast	1	0	1
0.336715506947738	8	1.08354722422495	3	Cerebral Cortex	0.460558172380322	0.737928050332988	1
0	0	0	2	Cervix, uterine	1	0	1
0.255765222847905	1	1.24369414101291	13	Colon	0.554925621553265	0.590395358644289	1
0	0	0	2	Duodenum	1	0	1
0	0	0	5	Endometrium	1	0	1
0	0	0	3	Esophagus	1	0	1
0.17454618809436	2	0.876928463064535	5	Fallopian Tube	0.669042662225085	0.427462267784485	1
0.76849214704423	2	2.69044038668099	3	Gallbladder	0.170415013364819	1.37087151201279	1
0	0	0	4	Heart Muscle	1	0	1
0.0838653441129663	1	0.581609907120743	9	Kidney	0.824393684124731	0.221897490505632	1
14.7100776254452	21	9.84050885507608	10	Liver	1.94949611725259e-15	7.94144448741598	6.82323641038407e-14
0.210204191284263	1	1.0518477043673	9	Lung	0.616305166882365	0.501093719262128	1
0.450992423383067	2	1.60770218228498	5	Lymph Node	0.354003516905962	0.926851740093324	1
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
0.963203430699225	4	2.2033132971705	8	Placenta	0.108842013995989	1.60341974792576	1
0.211594551825478	1	1.05747255840135	9	Prostate	0.614335267987738	0.503894852518201	1
0.237115828144831	1	1.16321981424149	4	Rectum	0.579274180989202	0.554445227188447	1
0	0	0	3	Salivary Gland	1	0	1
0.650596404785683	2	2.24712918660287	3	Seminal Vesicle	0.223564887380317	1.21710337339823	1
0	0	0	5	Skeletal Muscle	1	0	1
0.042322527924147	1	0.427100147777651	3	Skin	0.907146589367342	0.116638421740007	1
0.28396573993397	2	1.15304588000614	4	Small Intestine	0.520037018928745	0.643288342786545	1
0	0	0	3	Smooth Muscle	1	0	1
0.332651008564841	2	1.27991824220746	5	Spleen	0.464888701577178	0.73082066152185	1
0	0	0	4	Stomach	1	0	1
0.0134121409931096	6	0.547523862725573	10	Testis	0.969589400149522	0.0381232673253366	1
0.128314287481316	1	0.740626848018924	5	Thyroid Gland	0.744193225948086	0.326305501883123	1
0.23077231507947	1	1.13647912885662	5	Tonsil	0.587797432741851	0.542030590238418	1
0	0	0	2	Urinary Bladder	1	0	1
