Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
1.1219241937301	4	2.51578559710737	3	Adrenal Gland	0.0755224040809704	1.77727865314333	0.456203535352072
0.503444273556422	2	1.76386085160321	3	Appendix	0.313729766630028	1.0074266984539	0.726942396047408
0.623533125380574	3	1.78043849118595	4	Bone Marrow	0.237939680790489	1.18015221413816	0.645136792033083
0.676155793084316	2	2.33874883286648	4	Breast	0.210787186409208	1.25140381420596	0.645136792033083
0.874591988457614	13	1.40565212386324	3	Cerebral Cortex	0.133477483928977	1.50052878113425	0.583963992189273
1.12124118573781	3	3.05546218487395	2	Cervix, uterine	0.0756412704042131	1.77655630393059	0.456203535352072
0	0	0	13	Colon	1	0	1
0	0	0	2	Duodenum	1	0	1
0.764759913654683	2	2.67568722404216	5	Endometrium	0.171885834251876	1.3661692895392	0.645136792033083
0.0966104728623337	1	0.626450580232093	3	Esophagus	0.800551963666827	0.252632822768634	1
0.0245549657612573	1	0.35003447055097	5	Fallopian Tube	0.945028778870534	0.0689508041201931	1
0.622058669356974	2	2.14783056079575	3	Gallbladder	0.238748873244051	1.17811974045894	0.645136792033083
1.39512114479799	4	3.11065115701453	4	Heart Muscle	0.0402604713603116	2.05106649775507	0.456203535352072
0.0520758088997282	1	0.464310430054375	9	Kidney	0.887001166755633	0.142099811894682	1
0.124417239108648	2	0.748177944163447	10	Liver	0.750901135206409	0.317451367953743	1
0.931446571461567	3	2.51913105667799	9	Lung	0.117099065312777	1.56706685618045	0.583963992189273
0.334166412165352	2	1.28345972535356	5	Lymph Node	0.46326937101169	0.733474014682457	0.953789881494656
1.27167746060387	3	3.53430327354823	3	Ovary	0.0534961514124825	1.93089408836025	0.456203535352072
0	0	0	2	Pancreas	1	0	1
1.10675814744523	5	2.19868448772267	8	Placenta	0.0782063203460694	1.76118958439368	0.456203535352072
0.478448063586228	2	1.68840156383409	9	Prostate	0.332316523907386	0.969458405062916	0.726942396047408
0.179034325735091	1	0.928620860108749	4	Rectum	0.662164165551172	0.436927171835557	1
0	0	0	3	Salivary Gland	1	0	1
0.170749035587515	1	0.89696333078686	3	Seminal Vesicle	0.674917927772736	0.419408069346732	1
0.0610419835643969	1	0.497998568512579	5	Skeletal Muscle	0.868876430307856	0.165085824531422	1
0.0226597616893793	1	0.340962302847705	3	Skin	0.949161771686452	0.0637594437883246	1
0	0	0	4	Small Intestine	1	0	1
1.72191941817407	3	5.32131054669059	3	Smooth Muscle	0.0189705788102895	2.34610860551855	0.456203535352072
0.506360917512224	3	1.53267520600473	5	Spleen	0.311629872855892	1.01180798180338	0.726942396047408
0.190855035913893	1	0.974478680361033	4	Stomach	0.644384320044972	0.461577517823215	1
0.0126693422681774	8	0.582798509343747	10	Testis	0.971249163419549	0.0360416314341255	1
0.620472881708357	3	1.7737701822302	5	Thyroid Gland	0.239622237040859	1.1759315326414	0.645136792033083
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
