Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
0.553048283312521	2	1.9190928593319	3	Adrenal Gland	0.279867015616513	1.08061812735293	1
0.768733323632106	2	2.69101847872798	3	Appendix	0.170320403133245	1.3711750204391	1
0	0	0	4	Bone Marrow	1	0	1
0	0	0	4	Breast	1	0	1
15.2786752894103	32	5.27881981032666	3	Cerebral Cortex	5.26410702762576e-16	8.12589066470191	1.84243745966902e-14
0.321770471287685	1	1.55384615384615	2	Cervix, uterine	0.476682851606886	0.711647877283486	1
0	0	0	13	Colon	1	0	1
0	0	0	2	Duodenum	1	0	1
0	0	0	5	Endometrium	1	0	1
0.550665278764458	2	1.91147741147741	3	Esophagus	0.281406886558361	1.07716426548539	1
0.25028606238205	2	1.06805389732219	5	Fallopian Tube	0.561971042495264	0.57991633053782	1
0	0	0	3	Gallbladder	1	0	1
0.685610688372405	2	2.37286851079955	4	Heart Muscle	0.206247793781055	1.26395050155391	1
0.383238624191575	2	1.41674208144796	9	Kidney	0.413772264142178	0.817273295500892	1
0.279146021428456	2	1.14145096609552	10	Liver	0.525840435036582	0.634368387950068	1
0.264084180336376	1	1.28109656301146	9	Lung	0.544397120821225	0.606177155431037	1
0	0	0	5	Lymph Node	1	0	1
0.970838815051736	2	3.5947187141217	3	Ovary	0.106945172409017	1.6120770578952	1
0	0	0	2	Pancreas	1	0	1
0.727534334117931	3	2.01264195414613	8	Placenta	0.187268902756153	1.31870156686519	1
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.420134848767711	2	1.51953409366659	5	Skeletal Muscle	0.380071365548441	0.877764809123823	1
0	0	0	3	Skin	1	0	1
0	0	0	4	Small Intestine	1	0	1
0.508533966745036	1	2.70613656006914	3	Smooth Muscle	0.310074486569711	1.01506575017272	1
0.433958559859942	2	1.55887478217575	5	Spleen	0.368164101982202	0.899917602229347	1
0	0	0	4	Stomach	1	0	1
2.99795307991147e-05	1	0.111142664442157	10	Testis	0.999930971961832	8.65138162154407e-05	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
