Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.572607781153795	2	1.98227287116176	5	Adipose Tissue	0.267542153731773	1.10874047979992	1
0.332622291720318	2	1.2793952395546	3	Adrenal Gland	0.464919442418947	0.730770340923349	1
0	0	0	3	Appendix	1	0	1
0.305136564349968	2	1.20724889145942	4	Bone Marrow	0.495294420471127	0.681912279227859	1
0	0	0	4	Breast	1	0	1
0.0897132950735908	7	0.769827889005971	3	Cerebral Cortex	0.813367293541954	0.236084252158597	1
0.206339600570671	1	1.03589743589744	2	Cervix, uterine	0.62181386193514	0.49328126835084	1
0	0	0	13	Colon	1	0	1
0.486124694214965	3	1.49130745415575	2	Duodenum	0.326494076047532	0.981200097626442	1
0.281783380621849	1	1.36071273359409	5	Endometrium	0.522656817140928	0.639255369690102	1
0	0	0	3	Esophagus	1	0	1
0.110652532216655	2	0.712035931548127	5	Fallopian Tube	0.775081672597814	0.285734246772174	1
0.632698832574084	2	2.18454561311704	3	Gallbladder	0.232970626417825	1.19274150208137	1
3.54953309307699	7	5.53669319186561	4	Heart Muscle	0.000282141458416404	3.63116798383702	0.00483851077438095
0.201794378220617	2	0.944494720965309	9	Kidney	0.628355790762164	0.484042382500678	1
3.50978297389587	10	3.80483655365172	10	Liver	0.000309184010418074	3.60748113490593	0.00483851077438095
0.485036474403281	2	1.70812875068194	9	Lung	0.327313204188413	0.979540061514403	1
0.103958526394777	1	0.652699603919116	5	Lymph Node	0.787120953406277	0.270051084330044	1
0.245379498245609	1	1.1982395713739	3	Ovary	0.568356068909349	0.570474269550112	1
0	0	0	2	Pancreas	1	0	1
3.38223507715782	9	4.02528390829226	8	Placenta	0.000414729494946938	3.53052903396999	0.00483851077438095
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0.523142403405002	2	1.82459207459207	3	Seminal Vesicle	0.299817926693264	1.03682391771073	1
1.83995996667744	6	3.03906818733317	5	Skeletal Muscle	0.014455730177157	2.44573476476627	0.126487639050124
0	0	0	3	Skin	1	0	1
0.443009160843762	3	1.40435075128953	4	Small Intestine	0.360571037192159	0.914277524818576	1
0.973448212255623	2	3.60818208009219	3	Smooth Muscle	0.106304533929106	1.61502845024108	0.744131737503742
0.519084208056439	3	1.55887478217575	5	Spleen	0.30263265779389	1.03080417977698	1
0	0	0	4	Stomach	1	0	1
0.000715993454232271	5	0.370475548140523	10	Testis	0.998352722399169	0.00206455777186479	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
