Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
1.12014893086103	10	1.68062265163714	5	Adipose Tissue	0.0758317483669073	1.77540070093617	0.33176389910522
0.869054558867608	13	1.41011605750909	3	Adrenal Gland	0.135190271780673	1.49394394245663	0.430150864756687
0.016631898331617	3	0.456303133349526	3	Appendix	0.962427672434296	0.0471073461802671	0.999866914829736
0.00123079950921565	3	0.307061131088591	4	Bone Marrow	0.997169991443035	0.00354689717009861	0.999866914829736
0.133522869865425	4	0.806698872785829	4	Breast	0.73532127257645	0.338055621582651	0.999866914829736
1.33948961461215	66	1.2307683144729	3	Cerebral Cortex	0.045762567806782	1.99757673306507	0.266948312206228
0.0832456119615877	4	0.702608695652174	2	Cervix, uterine	0.825570922132843	0.220385519275986	0.999866914829736
0.00110452377229007	1	0.171233251298879	13	Colon	0.997459971372748	0.00318345916479452	0.999866914829736
0.521695093725046	14	1.1800780724189	2	Duodenum	0.300818752759441	1.03467920049408	0.752046881898603
2.38418633370993	11	2.53802505526898	5	Endometrium	0.00412870322292575	2.86815721239856	0.0625655400743786
0.0191396715883917	5	0.540200138026225	3	Esophagus	0.956886281705006	0.0540613546676658	0.999866914829736
1.14644455513015	23	1.38847006651885	5	Fallopian Tube	0.0713765323248602	1.80307439154356	0.33176389910522
0.341731049085282	6	1.11126885536823	3	Gallbladder	0.455269913497281	0.746658190056504	0.83865510381078
0.890113633047002	11	1.47530520454059	4	Heart Muscle	0.128791252560031	1.51888576567476	0.430150864756687
0.727518508887123	16	1.28122762148338	9	Kidney	0.187275726760897	1.318681163266	0.538212775221016
0.229873423796254	15	0.967751906037503	10	Liver	0.589015300311159	0.540263537653295	0.981692167185266
0.412548449529045	8	1.15855689176688	9	Lung	0.386768904610802	0.865491818372443	0.811480075729293
0.379517678186446	10	1.10675150229763	5	Lymph Node	0.417332610375065	0.81105757052161	0.811480075729293
1.58406625438066	10	2.03179753406879	3	Ovary	0.0260575599505326	2.22535285282521	0.228003649567161
0.0290765249280407	1	0.372960095294818	2	Pancreas	0.935240865362936	0.0812528560782583	0.999866914829736
3.08668581067923	26	1.97180574058375	8	Placenta	0.00081905711879369	3.34627300062502	0.0286669991577792
0.16238596185479	6	0.873564287375029	9	Prostate	0.688040556022968	0.401515598694311	0.999866914829736
0.0579124511633512	4	0.640613810741688	4	Rectum	0.875160179802093	0.15710743280178	0.999866914829736
0.391802357905645	4	1.23754940711462	3	Salivary Gland	0.40569311940918	0.831496650935664	0.811480075729293
0.699170689916066	9	1.39224308300395	3	Seminal Vesicle	0.199907602224949	1.28181485398815	0.538212775221016
0.208131619103065	11	0.944753806062268	5	Skeletal Muscle	0.619253373116718	0.496908789352374	0.985175820867507
5.78020014485401e-05	5	0.294018217673021	3	Skin	0.999866914829736	0.000166797526131921	0.999866914829736
0.418415504611328	14	1.11126885536823	4	Small Intestine	0.381579026242412	0.874990589189062	0.811480075729293
2.270611591823	9	2.75319980459209	3	Smooth Muscle	0.00536276057780388	2.78439545657694	0.0625655400743786
0.972664583806241	16	1.40976502040242	5	Spleen	0.106496519921977	1.61414250349152	0.414153133029909
0.259777742595439	6	1.00837359098229	4	Stomach	0.549822182490848	0.598026602896221	0.962188819358984
0.000117697880917339	53	0.66588952870127	10	Testis	0.999729027333649	0.000339613880091893	0.999866914829736
1.41772635150085	16	1.63152581012864	5	Thyroid Gland	0.0382185009362501	2.07250359923782	0.266948312206228
0.0191825222497111	3	0.469415292353823	5	Tonsil	0.956791872982547	0.0541798518687653	0.999866914829736
0.168471877679311	2	0.86432022084196	2	Urinary Bladder	0.678466052491317	0.414557245060459	0.999866914829736
