Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.149341972124919	1	0.816640584246218	5	Adipose Tissue	0.709019252218262	0.373173588212982	1
0	0	0	3	Adrenal Gland	1	0	1
4.18155255258983	8	5.91266031945865	3	Appendix	6.58335762012867e-05	3.99086201534205	0.00115208758352252
0.0609702870129891	1	0.497352536270253	4	Bone Marrow	0.869019882708538	0.164903569631429	1
0.192276323707111	1	0.979968701095462	4	Breast	0.642278931630385	0.464514837486859	1
0.67012405679137	14	1.26858961991125	3	Cerebral Cortex	0.213735146502947	1.24336015424479	0.935091265950395
0.94689365950328	3	2.56056338028169	2	Cervix, uterine	0.11300725881604	1.58481990379195	0.720995106068652
0	0	0	13	Colon	1	0	1
0	0	0	2	Duodenum	1	0	1
0.227184746172394	1	1.12115063260921	5	Endometrium	0.59267315147365	0.534966313445876	1
0.0684792123963095	1	0.524983232729712	3	Esophagus	0.854123729265782	0.183859433917238	1
0.592264943968501	5	1.46669373223822	5	Fallopian Tube	0.255702548216661	1.13660715362858	0.994398798620348
0	0	0	3	Gallbladder	1	0	1
0	0	0	4	Heart Muscle	1	0	1
0.13623236806488	2	0.77821043910522	9	Kidney	0.730747994168037	0.344130702493751	1
0	0	0	10	Liver	1	0	1
0	0	0	9	Lung	1	0	1
6.42432785957591	12	6.45345242184816	5	Lymph Node	3.76419523346493e-07	5.08051171305593	1.31746833171273e-05
0.194135910879	1	0.987281900357368	3	Ovary	0.639534664115069	0.468349515671057	1
0	0	0	2	Pancreas	1	0	1
0.864830450435798	5	1.8425595354859	8	Placenta	0.136511597698699	1.48890799599241	0.720995106068652
0.119344197830272	1	0.7074640355502	9	Prostate	0.759723923036148	0.305843346544327	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0.414688194220734	2	1.50336107554417	3	Seminal Vesicle	0.384868002452716	0.868961841496164	1
0.0401997737878676	1	0.417336828542231	5	Skeletal Muscle	0.91159141435911	0.111031441249369	1
0.0613063769513861	2	0.571472028716576	3	Skin	0.868347629507838	0.165757708293707	1
0	0	0	4	Small Intestine	1	0	1
0.308210166120362	1	1.48646937806615	3	Smooth Muscle	0.491801482868783	0.68744637408902	1
1.52073140349323	6	2.56884999316286	5	Spleen	0.0301487004326858	2.1681312679047	0.263801128786001
0	0	0	4	Stomach	1	0	1
0.0122829814202476	10	0.610501959611847	10	Testis	0.972113599034671	0.0349575391213669	1
0.841037687487037	4	1.98195917075487	5	Thyroid Gland	0.14419902121373	1.46033138204629	0.720995106068652
1.9821213044939	5	3.80160271976688	5	Tonsil	0.0104202633628195	2.56156202263679	0.121569739232894
0	0	0	2	Urinary Bladder	1	0	1
