Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.259554121017816	1	1.26046698872786	5	Adipose Tissue	0.550105363072026	0.597602249244571	1
0	0	0	3	Adrenal Gland	1	0	1
1.93456772538442	4	4.56303133349526	3	Appendix	0.0116260523618247	2.5232959112892	0.203455916331933
0.847885169769601	3	2.30295848316443	4	Bone Marrow	0.141943277915484	1.46859276682468	1
0	0	0	4	Breast	1	0	1
0.0697411744083115	5	0.699300178677784	3	Cerebral Cortex	0.851645440376109	0.187019376947801	1
0	0	0	2	Cervix, uterine	1	0	1
0	0	0	13	Colon	1	0	1
0	0	0	2	Duodenum	1	0	1
0.355832984029748	1	1.73047162859248	5	Endometrium	0.440724319603912	0.770970664996623	1
0.14739579363745	1	0.810300207039337	3	Esophagus	0.712203668508091	0.36889811489148	1
0.185878133946799	2	0.905523956425335	5	Fallopian Tube	0.65181127117898	0.451247371357637	1
0	0	0	3	Gallbladder	1	0	1
0	0	0	4	Heart Muscle	1	0	1
0.089134432619672	1	0.600575447570333	9	Kidney	0.814452137409536	0.23468640874201	1
0.0570139629100831	1	0.483875953018751	10	Liver	0.876972625328883	0.154808074623291	1
0	0	0	9	Lung	1	0	1
7.48409660056099	11	9.13069989395546	5	Lymph Node	3.28022322660878e-08	5.52578141612754	1.14807812931307e-06
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
0.277894125816508	2	1.13758023495216	8	Placenta	0.527358407462421	0.632043569599172	1
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0	0	0	5	Skeletal Muscle	1	0	1
0.0458102862514829	1	0.441027326509531	3	Skin	0.899890596736459	0.125799551586548	1
0.0876638086906116	1	0.595322601090125	4	Small Intestine	0.817214739930584	0.231128802176924	1
0	0	0	3	Smooth Muscle	1	0	1
1.18521675555773	4	2.64330941325454	5	Spleen	0.0652804657752634	1.84333258901474	0.76160543404474
0	0	0	4	Stomach	1	0	1
0.0168187059788776	6	0.565377901727493	10	Testis	0.962013782332196	0.0476266627536189	1
0	0	0	5	Thyroid Gland	1	0	1
0.678487139005652	2	2.34707646176912	5	Tonsil	0.209658686671884	1.25450451229595	1
0.57445742884404	1	3.24120082815735	2	Urinary Bladder	0.266405122415068	1.11137929101263	1
