Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
0	0	0	3	Adrenal Gland	1	0	1
0	0	0	3	Appendix	1	0	1
1.15822564473214	3	3.16227135001683	4	Bone Marrow	0.0694663300241928	1.81537480651683	1
0	0	0	4	Breast	1	0	1
1.47670583862888	10	1.92046616233899	3	Cerebral Cortex	0.0333652329506538	2.12766061090013	1
0	0	0	2	Cervix, uterine	1	0	1
0	0	0	13	Colon	1	0	1
0.162548505447849	1	0.868074488239915	2	Duodenum	0.687783090955251	0.401865395711808	1
0	0	0	5	Endometrium	1	0	1
0	0	0	3	Esophagus	1	0	1
0.31828248070127	2	1.24340602971837	5	Fallopian Tube	0.480526694990071	0.705455694149185	1
0	0	0	3	Gallbladder	1	0	1
0.285907059661818	1	1.38122196897287	4	Heart Muscle	0.517717613238043	0.646867636362172	1
0.465028781279001	2	1.64934152765584	9	Kidney	0.342745071617244	0.948755318726635	1
0.106591307947698	1	0.664426681757091	10	Liver	0.782363700250557	0.276240047136569	1
0.309025619408107	1	1.49142584947602	9	Lung	0.490878917925418	0.688911570118918	1
0	0	0	5	Lymph Node	1	0	1
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
0.138992650428975	1	0.781025235937305	8	Placenta	0.726118245439456	0.350293763114241	1
0.310657164345387	1	1.49940138877803	9	Prostate	0.489038257851006	0.691839292865256	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0	0	0	5	Skeletal Muscle	1	0	1
0.0900787758529316	1	0.605589761774282	3	Skin	0.812683091748294	0.236966097205198	1
0	0	0	4	Small Intestine	1	0	1
0	0	0	3	Smooth Muscle	1	0	1
0	0	0	5	Spleen	1	0	1
0	0	0	4	Stomach	1	0	1
0.00113565023968456	2	0.258779935119052	10	Testis	0.997388484641988	0.00327305496198252	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
