Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
0	0	0	3	Adrenal Gland	1	0	1
0	0	0	3	Appendix	1	0	1
0	0	0	4	Bone Marrow	1	0	1
0.640437393836507	1	3.86543209876543	4	Breast	0.228856159772558	1.20331057124946	1
2.25675261024482	8	2.85936073059361	3	Cerebral Cortex	0.00553665407131749	2.7740301851695	0.193782892496112
1.4499857564253	2	6.73333333333333	2	Cervix, uterine	0.0354825026254305	2.10280861531158	0.620943795945033
0	0	0	13	Colon	1	0	1
0	0	0	2	Duodenum	1	0	1
0.692247183642332	1	4.42231638418079	5	Endometrium	0.203120060095858	1.27271255702066	1
0	0	0	3	Esophagus	1	0	1
0.234033213555658	1	1.15705838876571	5	Fallopian Tube	0.583400485826415	0.548424458798293	1
0.608122513040289	1	3.54988662131519	3	Gallbladder	0.246534377378727	1.15880819249203	1
0	0	0	4	Heart Muscle	1	0	1
0	0	0	9	Kidney	1	0	1
0.252598509911627	1	1.23657187993681	10	Liver	0.558986719654892	0.58434723382843	1
0.517109616739905	1	2.77570921985816	9	Lung	0.304011759745978	1.02786834911723	1
0	0	0	5	Lymph Node	1	0	1
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
0	0	0	8	Placenta	1	0	1
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.338752229622148	1	1.64616193480547	5	Skeletal Muscle	0.45840333690522	0.741478543269235	1
0	0	0	3	Skin	1	0	1
0	0	0	4	Small Intestine	1	0	1
0.803333168168674	1	5.86329588014981	3	Smooth Muscle	0.157277584960615	1.41428722966541	1
0	0	0	5	Spleen	1	0	1
0	0	0	4	Stomach	1	0	1
0.0309891093556958	2	0.48161821258268	10	Testis	0.931131224813142	0.0864216654602008	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
