Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.46776236839457	2	1.65661375661376	5	Adipose Tissue	0.340594500793301	0.952991256489712	1
0.251471752996749	2	1.06920887877063	3	Adrenal Gland	0.560438867755259	0.582189763351337	1
2.64728619725036	6	4.49784517158819	3	Appendix	0.00225275417248334	3.05471375545401	0.0262821320123056
0.227606323689818	2	1.00891514500537	4	Bone Marrow	0.592098112059626	0.53579807599716	1
0	0	0	4	Breast	1	0	1
0.0151990288338006	6	0.551448140900196	3	Cerebral Cortex	0.965608257825382	0.0431170125891422	1
0	0	0	2	Cervix, uterine	1	0	1
0.478286542916698	2	1.68787061994609	13	Colon	0.33244014042191	0.969210565856689	1
0.363059608116705	3	1.24630694383016	2	Duodenum	0.433451381905691	0.783299286877455	1
0.231015657659313	1	1.13716707021792	5	Endometrium	0.58746817210337	0.54250861817358	1
0.0705303953770243	1	0.532482993197279	3	Esophagus	0.850099194412223	0.188991862797735	1
0	0	0	5	Fallopian Tube	1	0	1
0.523491981183124	2	1.82565597667638	3	Gallbladder	0.299576690578206	1.03734158764889	1
0	0	0	4	Heart Muscle	1	0	1
0.0347022021214726	1	0.394663865546219	9	Kidney	0.92320425589657	0.0963982828054971	1
0.018208619367664	1	0.317975626269465	10	Liver	0.958939880811484	0.0514839627039394	1
0	0	0	9	Lung	1	0	1
7.39887979964582	13	7.0911149825784	5	Lymph Node	3.99135356384907e-08	5.49123389291957	1.39697374734717e-06
0	0	0	3	Ovary	1	0	1
0.375324206287142	1	1.83816046966732	2	Pancreas	0.421381819163143	0.804026242920935	1
0.124383072436324	2	0.747552725825706	8	Placenta	0.750960212176811	0.317373500516655	1
0	0	0	9	Prostate	1	0	1
0.873066228527731	3	2.36798319327731	4	Rectum	0.133947240656685	1.49871632163706	0.78135890383066
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.0416718021774023	1	0.423298783235692	5	Skeletal Muscle	0.908506832539877	0.114922144589203	1
0.171130891429721	3	0.869453872261648	3	Skin	0.674324763235317	0.420219975784167	1
0.596500431108026	4	1.56484798000833	4	Small Intestine	0.253220912164949	1.14256098462783	1
0	0	0	3	Smooth Muscle	1	0	1
3.96165389126224	10	4.34257975034674	5	Spleen	0.000109231050086181	3.86911514673124	0.00191154337650817
0.152491345253804	1	0.828306878306878	4	Stomach	0.703896255245091	0.380066226608339	1
0.000316440599808066	6	0.371534049706639	10	Testis	0.999271633979468	0.000912871557461072	1
0.0623716990653371	1	0.502568218298555	5	Thyroid Gland	0.866220187640426	0.168461552984803	1
2.00700665542068	5	3.85591133004926	5	Tonsil	0.00983996026228805	2.58140312949184	0.0860996522950204
1.09556655364328	2	4.25986394557823	2	Urinary Bladder	0.0802478575277539	1.74924975189658	0.561735002694277
