Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.0561561029717572	1	0.479185797367616	5	Adipose Tissue	0.878706617424052	0.152609012356406	1
0.20040704449727	3	0.927825886536499	3	Adrenal Gland	0.630366253856447	0.481211407828576	1
3.27115891004348	9	3.90308878526248	3	Appendix	0.000535600643291597	3.46228952894533	0.00468650562880147
0.88579161054285	6	1.75100975579444	4	Bone Marrow	0.13007935938977	1.5137890158148	0.91055551572839
0	0	0	4	Breast	1	0	1
0.375792606058292	20	1.0633986188158	3	Cerebral Cortex	0.420927591083819	0.804813013175332	1
0	0	0	2	Cervix, uterine	1	0	1
0.214773394790248	2	0.976454077654764	13	Colon	0.609855023036269	0.510280413021401	1
0.102957792187661	3	0.72100401709183	2	Duodenum	0.788936788355162	0.267691506202748	1
0.10541124008607	1	0.657865247233506	5	Endometrium	0.784492434909086	0.273469369429561	1
0.0164965053771339	1	0.308048012593467	3	Esophagus	0.962727759691381	0.0467308283710221	1
0.0303405260574827	3	0.516373165234282	5	Fallopian Tube	0.932522832029707	0.0846711506473563	1
0.0693421796338875	1	0.528082307303087	3	Gallbladder	0.852428223104731	0.186021089295945	1
0.031941395196401	1	0.382404429426373	4	Heart Muscle	0.929091752328763	0.0889876156777051	1
0.350598203381928	5	1.14158969372873	9	Kidney	0.446068747377949	0.761985350795036	1
0.00171867554852474	1	0.183952841643492	10	Liver	0.996050423477339	0.00495008030773242	1
0.0392002680855752	1	0.412915421135924	9	Lung	0.913691809668601	0.108383095887113	1
16.8627907670366	27	8.52015722636565	5	Lymph Node	1.37154238418421e-17	Inf	4.80039834464474e-16
0.603885839464333	3	1.7379425188109	3	Ovary	0.248951163613237	1.15290065401527	1
0	0	0	2	Pancreas	1	0	1
0.165884352212117	4	0.864937038145445	8	Placenta	0.682520417537525	0.409026222460405	1
0.156771983646839	2	0.830247049984532	9	Prostate	0.69699235790897	0.389383659583392	1
0.189648465689998	2	0.913271754982985	4	Rectum	0.646177057454153	0.459079527688185	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.108874653815189	3	0.734650780822275	5	Skeletal Muscle	0.778261140557799	0.281585785909164	1
0.0269648641866901	3	0.502989843457152	3	Skin	0.939799340263019	0.0755220676054754	1
0.18867978951687	4	0.90528395537672	4	Small Intestine	0.647619937636441	0.457071105915423	1
0.497010811813914	2	1.74445166682143	3	Smooth Muscle	0.318411825172851	0.997726859293302	1
4.91270271297156	15	3.76835432881329	5	Spleen	1.22263630339396e-05	4.37351180466033	0.000213961353093943
0.0561561029717572	1	0.479185797367616	4	Stomach	0.878706617424052	0.152609012356406	1
0.0277193405168891	21	0.752279687422533	10	Testis	0.938168095011822	0.0775725292334738	1
0.345304331819409	4	1.16296777788095	5	Thyroid Gland	0.451539417278375	0.752851064279456	1
3.36045152680687	9	4.01524650897692	5	Tonsil	0.0004360622317825	3.51723822438208	0.00468650562880147
0.25276516998533	1	1.23219205037387	2	Urinary Bladder	0.55877225021333	0.584666103556349	1
