Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	p.adjust	zScore
0.444491244422434	2	1.58853373921867	5	Adipose Tissue	0.359342641196165	0.916618395915508
0.0651199704281079	1	0.512634393931125	3	Adrenal Gland	0.860755942293807	0.175411961617214
3.29602471166242	7	5.031835922553	3	Appendix	0.000505795881041812	3.47766805108644
0.814516095151117	4	1.93490575754455	4	Bone Marrow	0.153279439925239	1.42804314684028
0.185400384862269	1	0.953120243531202	4	Breast	0.652528695862339	0.450252068558352
0.460482597821755	13	1.14570275849127	3	Cerebral Cortex	0.346351762644048	0.94168924562375
0.469001604133592	2	1.66027397260274	2	Cervix, uterine	0.339624018134446	0.954908406593082
1.44805652070506	4	3.23701214784182	13	Colon	0.0356404746563683	2.10100560014972
0.96792017137457	5	1.9918147504135	2	Duodenum	0.107666309925845	1.60877152269941
0	0	0	5	Endometrium	1	0
0	0	0	3	Esophagus	1	0
0.0125076397848083	1	0.285302068462777	5	Fallopian Tube	0.971610859572756	0.035588021698276
0.165065612010986	1	0.87531450936539	3	Gallbladder	0.683808331602957	0.407271855326242
0	0	0	4	Heart Muscle	1	0
0.128013034422072	2	0.756889605157131	9	Kidney	0.744709622700494	0.325622981028109
0.0740807930809509	2	0.609816269557878	10	Liver	0.843177884308935	0.197830241687441
0.112927533221177	1	0.684421451471874	9	Lung	0.771032113462661	0.291025112369668
6.29373845249459	12	6.27664550618109	5	Lymph Node	5.08465566329179e-07	5.02309055093423
0.187228728350819	1	0.960233081169495	3	Ovary	0.649787378970299	0.454057587055402
0	0	0	2	Pancreas	1	0
0.829120794604426	5	1.7920784523219	8	Placenta	0.148210579511983	1.4458810085991
0.113949138189552	1	0.688081459233756	9	Prostate	0.769220521231888	0.293394640932469
1.35863343200043	4	3.02755842062853	4	Rectum	0.0437891553341355	2.01610348866512
0	0	0	3	Salivary Gland	1	0
0	0	0	3	Seminal Vesicle	1	0
0.149378700657867	2	0.811805885657491	5	Skeletal Muscle	0.708959292589667	0.37325415666262
0.0563576307323437	2	0.555815260806533	3	Skin	0.878298961549905	0.1531259379625
1.28703487095663	6	2.25080873836815	4	Small Intestine	0.0516374906139046	1.94614361600832
0	0	0	3	Smooth Muscle	1	0
1.47021118335745	6	2.49847054129539	5	Spleen	0.0338679427241837	2.12164045160744
0.143269623366551	1	0.794266869609335	4	Stomach	0.719002460579239	0.35979230167964
0.00947003222083857	10	0.593775878526591	10	Testis	0.978430467446582	0.0270366936163583
0.463650701500913	3	1.44574418962598	5	Thyroid Gland	0.343834379106313	0.946616213355292
1.93365929968452	5	3.69744922059518	5	Tonsil	0.0116503963465868	2.52256033138675
0	0	0	2	Urinary Bladder	1	0
