Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
1.20708576646348	2	4.93459416863672	5	Adipose Tissue	0.0620746434275626	1.86576219715459	0.516984264120489
0	0	0	3	Adrenal Gland	1	0	1
1.13162071570106	2	4.46594556044217	3	Appendix	0.0738548948743556	1.78751125373899	0.516984264120489
0	0	0	4	Bone Marrow	1	0	1
0.540918207411427	1	2.96075650118203	4	Breast	0.28779403788594	1.0629733482493	0.775696814991705
0.809370553633391	6	1.6426114835325	3	Cerebral Cortex	0.155106302972531	1.42172429977448	0.740872418196346
0	0	0	2	Cervix, uterine	1	0	1
0.48192404674979	1	2.51384985949418	13	Colon	0.329667362272672	0.974784106943624	0.775696814991705
0.253471605401679	1	1.23746788749094	2	Duodenum	0.55786407464813	0.586017024054348	1
0	0	0	5	Endometrium	1	0	1
0	0	0	3	Esophagus	1	0	1
0	0	0	5	Fallopian Tube	1	0	1
2.227835649209	3	8.15718627876683	3	Gallbladder	0.00591785542203606	2.75229848982265	0.103562469885631
0	0	0	4	Heart Muscle	1	0	1
0.680008251937888	2	2.35118898623279	9	Kidney	0.208925643295589	1.25652512256776	0.740872418196346
5.05281013926814	8	7.57729151961279	10	Liver	8.85502640849624e-06	4.44339528251291	0.000309925924297369
0	0	0	9	Lung	1	0	1
0.899637151267134	2	3.24961079398028	5	Lymph Node	0.12599776710062	1.53007661001638	0.73498697475362
0.543641770106344	1	2.98285169895205	3	Ovary	0.28599486130871	1.06694901124126	0.775696814991705
0	0	0	2	Pancreas	1	0	1
1.21773980827494	3	3.34012920049784	8	Placenta	0.0605703651358364	1.87661875393711	0.516984264120489
0	0	0	9	Prostate	1	0	1
0.4583650613423	1	2.35118898623279	4	Rectum	0.34804463101215	0.938388816673554	0.775696814991705
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0	0	0	5	Skeletal Muscle	1	0	1
0	0	0	3	Skin	1	0	1
0.674324617536687	2	2.33062465107624	4	Small Intestine	0.211677833770384	1.24896511422685	0.740872418196346
0	0	0	3	Smooth Muscle	1	0	1
0.742875376296573	2	2.58706878744061	5	Spleen	0.180769278111368	1.33839018076733	0.740872418196346
0.475306622404233	1	2.46729708431836	4	Stomach	0.334729028924758	0.964632272702993	0.775696814991705
0	0	0	10	Testis	1	0	1
0	0	0	5	Thyroid Gland	1	0	1
0.450256053458064	1	2.2971386647102	5	Tonsil	0.354604258281922	0.925695478541811	0.775696814991705
0	0	0	2	Urinary Bladder	1	0	1
