ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05321	Inflammatory bowel disease	12/87	64/8265	0.1875	17.8125	13.9257984681194	1.78508009323222e-12	2.10245607495285e-10	1.60953575116007e-10	3593/64127/149233/3586/6774/4088/6097/8809/4790/8807/3595/3460	12	KEGG
hsa04060	Cytokine-cytokine receptor interaction	21/87	296/8265	0.0709459459459459	6.73986486486486	10.3723422235557	1.91132370450259e-12	2.10245607495285e-10	1.60953575116007e-10	3593/149233/3586/9966/29949/6364/9180/3579/8809/8807/3559/958/7132/3595/3460/6347/6366/355/3570/8764/3554	21	KEGG
hsa04061	Viral protein interaction with cytokine and cytokine receptor	12/87	98/8265	0.122448979591837	11.6326530612245	10.9208044541256	3.31173241882986e-10	2.42860377380856e-08	1.85921820004483e-08	3586/29949/6364/3579/8809/8807/3559/7132/6347/6366/3570/8764	12	KEGG
hsa04630	JAK-STAT signaling pathway	14/87	168/8265	0.0833333333333333	7.91666666666667	9.34158661679005	1.78339866648834e-09	9.80869266568587e-08	7.50904701679301e-08	3593/149233/3717/3586/6774/29949/5771/9180/5155/3559/8651/3595/3460/3570	14	KEGG
hsa04659	Th17 cell differentiation	10/87	106/8265	0.0943396226415094	8.9622641509434	8.5094653633222	1.37828366190491e-07	6.0644481123816e-06	4.64263970325864e-06	149233/3717/6774/4088/6097/4790/3559/3460/3570/3554	10	KEGG
hsa05145	Toxoplasmosis	10/87	109/8265	0.0917431192660551	8.71559633027523	8.36325551760997	1.79807304667961e-07	6.59293450449191e-06	5.04722258717084e-06	3593/3717/3586/6774/4790/958/8651/7132/3460/345611	10	KEGG
hsa05163	Human cytomegalovirus infection	12/87	224/8265	0.0535714285714286	5.08928571428571	6.39952383449297	3.45047172799452e-06	0.000100599617111951	7.70140609469483e-05	113/5579/6774/3579/2768/5734/4790/7132/6347/355/3570/3554	12	KEGG
hsa04668	TNF signaling pathway	9/87	118/8265	0.076271186440678	7.24576271186441	7.04788572065152	3.65816789498004e-06	0.000100599617111951	7.70140609469483e-05	64127/1326/6364/7128/8809/4790/7132/6347/355	9	KEGG
hsa05140	Leishmaniasis	7/87	75/8265	0.0933333333333333	8.86666666666667	7.05847135405821	1.24769456084306e-05	0.000304992003761637	0.000233486701444316	3593/3717/3586/2212/5579/4790/3460	7	KEGG
hsa05152	Tuberculosis	10/87	176/8265	0.0568181818181818	5.39772727272727	6.08230839302067	1.44037153507586e-05	0.000316881737716688	0.000242588890118039	3593/64127/3717/3586/2212/4790/64170/7132/3460/4046	10	KEGG
