ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04610	Complement and coagulation cascades	10/35	86/8265	0.116279069767442	27.4584717607973	16.0839656199775	1.29222771425156e-12	1.83496335423722e-10	1.26502292026732e-10	2160/2147/2153/2243/2266/5340/10544/2159/7448/7450	10	KEGG
hsa05171	Coronavirus disease - COVID-19	8/35	232/8265	0.0344827586206897	8.14285714285714	7.19625148545069	4.17584444858475e-06	0.000296484955849517	0.000204396596693885	2147/3593/2243/2266/2212/3569/5336/7450	8	KEGG
hsa04611	Platelet activation	6/35	126/8265	0.0476190476190476	11.2448979591837	7.55677765867492	1.2588460748056e-05	0.000595853808741319	0.000410781350726039	2147/2243/2266/2212/5336/7450	6	KEGG
hsa04933	AGE-RAGE signaling pathway in diabetic complications	5/35	99/8265	0.0505050505050505	11.9264069264069	7.13213473598442	5.43877422999139e-05	0.00193076485164694	0.00133106842997158	836/3717/3569/5336/4313	5	KEGG
hsa05152	Tuberculosis	6/35	176/8265	0.0340909090909091	8.05032467532467	6.16520173877074	8.31888419738356e-05	0.00236256311205693	0.00162874995864562	3593/2212/836/3717/2215/3569	6	KEGG
hsa04613	Neutrophil extracellular trap formation	6/35	194/8265	0.0309278350515464	7.30338733431517	5.79349244377769	0.000142422487393664	0.00337066553498338	0.00232373532063346	2243/2266/2212/2215/5336/7450	6	KEGG
hsa05133	Pertussis	4/35	75/8265	0.0533333333333333	12.5942857142857	6.57751637551878	0.000264651335512919	0.00469756120535432	0.00323849660561862	3593/836/3569/1073	4	KEGG
hsa05140	Leishmaniasis	4/35	75/8265	0.0533333333333333	12.5942857142857	6.57751637551878	0.000264651335512919	0.00469756120535432	0.00323849660561862	3593/2212/3717/2215	4	KEGG
hsa05150	Staphylococcus aureus infection	4/35	93/8265	0.043010752688172	10.1566820276498	5.79088162555159	0.000602327589923849	0.00868694874317138	0.00598877859981422	2266/2212/5340/2215	4	KEGG
hsa04630	JAK-STAT signaling pathway	5/35	168/8265	0.0297619047619048	7.02806122448979	5.14753709118662	0.000647686468118983	0.00868694874317138	0.00598877859981422	3593/3717/85480/3569/3595	5	KEGG
hsa05164	Influenza A	5/35	171/8265	0.0292397660818713	6.9047619047619	5.08801173643243	0.000701947673813689	0.00868694874317138	0.00598877859981422	3593/836/3717/5340/3569	5	KEGG
hsa04666	Fc gamma R-mediated phagocytosis	4/35	98/8265	0.0408163265306122	9.63848396501458	5.60981514141725	0.000734108344493356	0.00868694874317138	0.00598877859981422	2212/2215/5336/1073	4	KEGG
hsa05145	Toxoplasmosis	4/35	109/8265	0.036697247706422	8.66579292267366	5.25364813811796	0.00109392723501075	0.0119490513362712	0.00823767067659914	3593/836/958/3717	4	KEGG
hsa05205	Proteoglycans in cancer	5/35	200/8265	0.025	5.90357142857143	4.5777764084855	0.00141897868327759	0.0143924980732441	0.00992218177028692	3593/836/5336/7448/4313	5	KEGG
hsa05134	Legionellosis	3/35	56/8265	0.0535714285714286	12.6505102040816	5.7045723040977	0.00165386015116708	0.0156565427643817	0.010793613618143	3593/836/3569	3	KEGG
hsa04650	Natural killer cell mediated cytotoxicity	4/35	125/8265	0.032	7.55657142857143	4.81669181366112	0.00181647107065929	0.0159850470606081	0.0110200843338514	836/2215/2185/5336	4	KEGG
hsa05417	Lipid and atherosclerosis	5/35	214/8265	0.0233644859813084	5.5173564753004	4.36611927069476	0.00191370281711505	0.0159850470606081	0.0110200843338514	3593/836/958/3717/3569	5	KEGG
hsa05321	Inflammatory bowel disease	3/35	64/8265	0.046875	11.0691964285714	5.27327782542475	0.00242894826382142	0.0191617029701468	0.0132100695049937	3593/3569/3595	3	KEGG
hsa04518	Integrin signaling	4/35	153/8265	0.0261437908496732	6.17366946778712	4.21220677736776	0.00378302343724742	0.028273122531007	0.0194914780977291	2243/2266/7448/7450	4	KEGG
hsa01521	EGFR tyrosine kinase inhibitor resistance	3/35	79/8265	0.0379746835443038	8.96745027124774	4.64008884115808	0.00441470866803441	0.0306841628304419	0.0211536482077917	3717/3569/5336	3	KEGG
hsa05161	Hepatitis B	4/35	161/8265	0.0248447204968944	5.86690328305235	4.06672866117613	0.00453779872844563	0.0306841628304419	0.0211536482077917	836/3717/3569/2185	4	KEGG
hsa04658	Th1 and Th2 cell differentiation	3/35	90/8265	0.0333333333333333	7.87142857142857	4.27418847794235	0.00635369673911494	0.0399284423700876	0.0275266504108091	3593/3717/3595	3	KEGG
hsa05168	Herpes simplex virus 1 infection	4/35	178/8265	0.0224719101123595	5.30658105939005	3.78772259302868	0.0064672829190987	0.0399284423700876	0.0275266504108091	3593/836/3717/3569	4	KEGG
hsa04060	Cytokine-cytokine receptor interaction	5/35	296/8265	0.0168918918918919	3.98889961389961	3.41495141960729	0.00765316289499359	0.0452812137953787	0.0312168486506318	3593/958/85480/3569/3595	5	KEGG
hsa05167	Kaposi sarcoma-associated herpesvirus infection	4/35	193/8265	0.0207253886010363	4.89415247964471	3.56968824809623	0.00856973450564684	0.0469215135499801	0.0323476705718914	836/3717/3569/5336	4	KEGG
hsa05146	Amoebiasis	3/35	103/8265	0.029126213592233	6.87794729542302	3.9144906820069	0.0092131754741894	0.0469215135499801	0.0323476705718914	3593/836/3569	3	KEGG
hsa05130	Pathogenic Escherichia coli infection	4/35	198/8265	0.0202020202020202	4.77056277056277	3.50196660738002	0.00935969922231685	0.0469215135499801	0.0323476705718914	2147/2212/836/3569	4	KEGG
hsa04625	C-type lectin receptor signaling pathway	3/35	104/8265	0.0288461538461538	6.81181318681319	3.88942933622007	0.00945957273531178	0.0469215135499801	0.0323476705718914	3593/3569/5336	3	KEGG
hsa05169	Epstein-Barr virus infection	4/35	201/8265	0.0199004975124378	4.69936034115139	3.46241136322613	0.00985588608744482	0.0469215135499801	0.0323476705718914	836/958/3569/5336	4	KEGG
hsa04620	Toll-like receptor signaling pathway	3/35	106/8265	0.0283018867924528	6.6832884097035	3.84028468753192	0.00996391841105655	0.0469215135499801	0.0323476705718914	3593/958/3569	3	KEGG
hsa05143	African trypanosomiasis	2/35	37/8265	0.0540540540540541	12.7644787644788	4.67687399764412	0.0105738622084462	0.0469215135499801	0.0323476705718914	3593/3569	2	KEGG
