NCBI.id,name
351,APP
348,APOE
6653,SORL1
102,ADAM10
1636,ACE
83464,APH1B
1378,CR1
2041,EPHA1
2896,GRN
10347,ABCA7
945,CD33
54209,TREM2
274,BIN1
5336,PLCG2
1191,CLU
8440,NCK2
64231,MS4A6A
23607,CD2AP
8301,PICALM
3635,INPP5D
57091,CASS4
1508,CTSB
81858,SHARPIN
54664,TMEM106B
123041,SLC24A4
2185,PTK2B
255426,RASGEF1C
5819,NECTIN2
146433,IL34
22834,ZNF652
643680,MS4A4E
79895,ATP8B4
29992,PILRA
51225,ABI3
5652,PRSS8
10979,FERMT2
19,ABCA1
81619,TSPAN14
3425,IDUA
1012,CDH13
54629,MINDY2
79817,MOB3B
54986,ULK4
79993,ELOVL7
26047,CNTNAP2
5142,PDE4B
8030,CCDC6
50507,NOX4
9833,MELK
353514,LILRA5
338,APOB
245802,MS4A6E
9712,USP6NL
9256,TSPOAP1
283807,FBXL22
11105,PRDM7
56979,PRDM9
341,APOC1
10452,TOMM40
3570,IL6R
509,ATP5F1C
463,ZFHX3
4314,MMP3
9960,USP3
221935,SDK1
6910,TBX5
10806,SDCCAG8
23576,DDAH1
2036,EPB41L1
3486,IGFBP3
374900,ZNF568
9917,FAM20B
84888,SPPL2A
1795,DOCK3
857,CAV1
5799,PTPRN2
79591,ARMH3
7424,VEGFC
58508,KMT2C
2766,GMPR
3899,AFF3
169792,GLIS3
79746,ECHDC3
25902,MTHFD1L
5670,PSG2
10160,FARP1
2053,EPHX2
343472,BARHL2
6934,TCF7L2
79097,TRIM48
9388,LIPG
7336,UBE2V2
9612,NCOR2
148545,NBPF4
54769,DIRAS2
4856,CCN3
57118,CAMK1D
55638,SYBU
79718,TBL1XR1
55253,TYW1
202559,KHDRBS2
4773,NFATC2
57706,DENND1A
7100,TLR5
283463,MUC19
10021,HCN4
10616,RBCK1
28969,BZW2
79109,MAPKAP1
3760,KCNJ3
23779,ARHGAP8
10678,B3GNT2
166647,ADGRA3
23198,PSME4
257194,NEGR1
399,RHOH
151963,MB21D2
64682,ANAPC1
55160,ARHGEF10L
7003,TEAD1
56853,CELF4
129684,CNTNAP5
1734,DIO2
1390,CREM
8726,EED
84978,FRMD5
10565,ARFGEF1
221443,OARD1
5139,PDE3A
9884,LRRC37A
10861,SLC26A1
9859,CEP170
85456,TNKS1BP1
11099,PTPN21
1813,DRD2
2099,ESR1
2242,FES
777,CACNA1E
145581,LRFN5
93986,FOXP2
4684,NCAM1
6925,TCF4
55553,SOX6
3096,HIVEP1
23228,PLCL2
91752,ZNF804A
9628,RGS6
2913,GRM3
8379,MAD1L1
64839,FBXL17
22997,IGSF9B
83992,CTTNBP2
2890,GRIA1
22986,SORCS3
27445,PCLO
55714,TENM3
10777,ARPP21
203062,TSNARE1
406,ARNTL
64116,SLC39A8
6671,SP4
57452,GALNT16
1946,EFNA5
6444,SGCD
3547,IGSF1
2915,GRM5
5727,PTCH1
5080,PAX6
54861,SNRK
158293,FAM120AOS
1630,DCC
5874,RAB27B
4842,NOS1
4137,MAPT
8428,STK24
153396,TMEM161B
54715,RBFOX1
23657,SLC7A11
51319,RSRC1
26052,DNM3
958,CD40
1136,CHRNA3
51347,TAOK3
64127,NOD2
2186,BPTF
5629,PROX1
81562,LMAN2L
1993,ELAVL2
64067,NPAS3
2918,GRM8
80145,THOC7
27086,FOXP1
4613,MYCN
83943,IMMP2L
9202,ZMYM4
10458,BAIAP2
4915,NTRK2
1441,CSF3R
5045,FURIN
2018,EMX2
84418,CYSTM1
84894,LINGO1
83539,CHST9
54207,KCNK10
64919,BCL11B
10645,CAMKK2
5096,PCCB
10439,OLFM1
4221,MEN1
56952,PRTFDC1
8609,KLF7
1805,DPT
283446,MYO1H
8050,PDHX
64478,CSMD1
3796,KIF2A
3745,KCNB1
26051,PPP1R16B
5015,OTX2
2272,FHIT
3694,ITGB6
28983,TMPRSS11E
4482,MSRA
255738,PCSK9
3949,LDLR
64241,ABCG8
4018,LPA
6272,SORT1
1952,CELSR2
1071,CETP
51129,ANGPTL4
1909,EDNRA
1282,COL4A1
57608,JCAD
84439,HHIPL1
51530,ZC3HC1
64093,SMOC1
1030,CDKN2B
6580,SLC22A1
1284,COL4A2
2982,GUCY1A1
6927,HNF1A
1029,CDKN2A
2335,FN1
1026,CDKN1A
10019,SH2B3
3988,LIPA
4321,MMP12
8613,PLPP3
64693,CTAGE1
6943,TCF21
221692,PHACTR1
375056,MIA3
64240,ABCG5
5265,SERPINA1
11173,ADAMTS7
143872,ARHGAP42
4092,SMAD7
3569,IL6
5654,HTRA1
10933,MORF4L1
871,SERPINH1
2153,F5
55201,MAP1S
26084,ARHGEF26
4023,LPL
154150,HDGFL1
4088,SMAD3
51715,RAB23
5581,PRKCE
481,ATP1B1
84959,UBASH3B
5340,PLG
4507,MTAP
7291,TWIST1
5074,PAWR
79991,STN1
79068,FTO
7145,TNS1
7040,TGFB1
22808,MRAS
200150,PLD5
5978,REST
4216,MAP3K4
154091,SLC2A12
63976,PRDM16
8645,KCNK5
414301,DDI1
84722,PSRC1
285440,CYP4V2
1138,CHRNA5
5432,POLR2C
10221,TRIB1
949,SCARB1
9037,SEMA5A
8882,ZPR1
55843,ARHGAP15
23263,MCF2L
128869,PIGU
2983,GUCY1B1
7372,UMPS
27291,R3HCC1L
2273,FHL1
9839,ZEB2
490,ATP2B1
3482,IGF2R
6655,SOS2
79987,SVEP1
152485,ZNF827
28,ABO
1137,CHRNA4
9745,ZNF536
84811,BUD13
79800,CARF
64858,DCLRE1B
57596,BEGAIN
6581,SLC22A3
220963,SLC16A9
55603,TENT5A
4240,MFGE8
2590,GALNT2
5648,MASP1
8728,ADAM19
51207,DUSP13
3145,HMBS
25825,BACE2
55006,TRMT61B
9992,KCNE2
6387,CXCL12
79977,GRHL2
221955,DAGLB
84181,CHD6
55759,WDR12
5371,PML
121274,ZNF641
6900,CNTN2
8872,CDC123
83449,PMFBP1
2321,FLT1
6416,MAP2K4
23705,CADM1
221391,OPN5
80005,DOCK5
83605,CCM2
55118,CRTAC1
55733,HHAT
57057,TBX20
146395,GSG1L
10873,ME3
54360,CYTL1
7484,WNT9B
10946,SF3A3
1812,DRD1
5046,PCSK6
285489,DOK7
22931,RAB18
79628,SH3TC2
118611,C10orf90
9172,MYOM2
10335,MRVI1
84171,LOXL4
2762,GMDS
55022,PID1
7473,WNT3
1523,CUX1
23500,DAAM2
4988,OPRM1
64078,SLC28A3
118663,BTBD16
7074,TIAM1
55466,DNAJA4
55534,MAML3
5493,PPL
783,CACNB2
55739,NAXD
22978,NT5C2
2312,FLG
3566,IL4R
90865,IL33
85480,TSLP
134,ADORA1
3596,IL13
5144,PDE4D
9173,IL1RL1
7096,TLR1
60468,BACH2
7292,TNFSF4
6821,SUOX
54491,OTULINL
3575,IL7R
50615,IL21R
7103,TSPAN8
943,TNFRSF8
728294,D2HGDH
2625,GATA3
255743,NPNT
3659,IRF1
5588,PRKCQ
861,RUNX1
9840,TESPA1
84433,CARD11
134430,WDR36
864,RUNX3
10154,PLXNC1
2720,GLB1
5788,PTPRC
3696,ITGB8
10018,BCL2L11
4026,LPP
55876,GSDMB
25816,TNFAIP8
4792,NFKBIA
4609,MYC
8710,SERPINB7
2615,LRRC32
221895,JAZF1
51564,HDAC7
7764,ZNF217
3559,IL2RA
80762,NDFIP1
56301,SLC7A10
3558,IL2
64109,CRLF2
6584,SLC22A5
11201,POLI
57188,ADAMTSL3
7128,TNFAIP3
222256,CDHR3
7187,TRAF3
26953,RANBP6
9101,USP8
26034,IPCEF1
8792,TNFRSF11A
3400,ID4
4586,MUC5AC
54806,AHI1
1116,CHI3L1
23235,SIK2
940,CD28
8809,IL18R1
26999,CYFIP2
81545,FBXO38
6778,STAT6
79899,PRR5L
92714,ARRDC1
10912,GADD45G
2769,GNA15
117283,IP6K3
23176,SEPTIN8
89882,TPD52L3
23274,CLEC16A
389015,SLC9A4
919,CD247
80176,SPSB1
10007,GNPDA1
642987,TMEM232
10783,NEK6
3662,IRF4
60678,EEFSEC
81793,TLR10
3087,HHEX
375387,NRROS
6777,STAT5B
6364,CCL20
6549,SLC9A2
3832,KIF11
197370,NSMCE1
5195,PEX14
57511,COG6
677,ZFP36L1
57863,CADM3
337867,UBAC2
5890,RAD51B
9448,MAP4K4
1437,CSF2
3707,ITPKB
79890,RIN3
1438,CSF2RA
9474,ATG5
79719,AAGAB
7046,TGFBR1
10111,RAD50
710,SERPING1
30009,TBX21
253461,ZBTB38
164781,DAW1
8807,IL18RAP
6097,RORC
5796,PTPRK
54103,GSAP
59067,IL21
473,RERE
131450,CD200R1
29919,RMC1
2122,MECOM
11033,ADAP1
219931,TPCN2
84961,FBXL20
9415,FADS2
56946,EMSY
10952,SEC61B
6583,SLC22A4
6231,RPS26
8808,IL1RL2
10333,TLR6
157285,PRAG1
7185,TRAF1
5869,RAB5B
6095,RORA
340273,ABCB5
84071,ARMC2
130340,AP1S3
84991,RBM17
90268,OTULIN
1803,DPP4
9644,SH3PXD2A
1307,COL16A1
6605,SMARCE1
64135,IFIH1
124626,ZPBP2
121665,SPPL3
8028,MLLT10
7049,TGFBR3
22828,SCAF8
124783,SPATA32
56990,CDC42SE2
26251,KCNG2
7114,TMSB4X
284382,ACTL9
57589,RIC1
23429,RYBP
